Comp	Super.Site	Value	Privacy	Species	Indiv	Part
508703490:tonguedorsum:1304	Oral	-0.029183183021499998	Private	1304	508703490	tonguedorsum
550534656:tonguedorsum:1304	Oral	-0.0326817091824	Private	1304	550534656	tonguedorsum
604812005:tonguedorsum:1304	Oral	0.014931039424399994	Not Private	1304	604812005	tonguedorsum
638754422:tonguedorsum:1304	Oral	0.10790445851310002	Not Private	1304	638754422	tonguedorsum
663835652:tonguedorsum:1304	Oral	-0.040036610479099996	Private	1304	663835652	tonguedorsum
686765762:tonguedorsum:1304	Oral	-0.016856225861399995	Private	1304	686765762	tonguedorsum
737052003:tonguedorsum:1304	Oral	0.028940018484999996	Not Private	1304	737052003	tonguedorsum
763577454:tonguedorsum:1304	Oral	-0.046021243283	Private	1304	763577454	tonguedorsum
763820215:tonguedorsum:1304	Oral	0.0869397299492	Not Private	1304	763820215	tonguedorsum
763901136:tonguedorsum:1304	Oral	0.004054628525099996	Not Private	1304	763901136	tonguedorsum
763982056:tonguedorsum:1304	Oral	0.0771231830711	Not Private	1304	763982056	tonguedorsum
764042746:tonguedorsum:1304	Oral	-0.029318579652499996	Private	1304	764042746	tonguedorsum
764285508:tonguedorsum:1304	Oral	-0.0521322482528	Private	1304	764285508	tonguedorsum
764325968:tonguedorsum:1304	Oral	-0.019118841372800004	Private	1304	764325968	tonguedorsum
764487809:tonguedorsum:1304	Oral	-0.030401100502699993	Private	1304	764487809	tonguedorsum
764508039:tonguedorsum:1304	Oral	0.0258739348354	Not Private	1304	764508039	tonguedorsum
764588959:tonguedorsum:1304	Oral	-0.019097959930800004	Private	1304	764588959	tonguedorsum
764811490:tonguedorsum:1304	Oral	-0.035709255367399995	Private	1304	764811490	tonguedorsum
765013792:tonguedorsum:1304	Oral	-0.03140110107789999	Private	1304	765013792	tonguedorsum
765074482:tonguedorsum:1304	Oral	-0.011003921484400006	Private	1304	765074482	tonguedorsum
765094712:tonguedorsum:1304	Oral	-0.08495333063169999	Private	1304	765094712	tonguedorsum
765135172:tonguedorsum:1304	Oral	-0.05038623523130001	Private	1304	765135172	tonguedorsum
765337473:tonguedorsum:1304	Oral	0.0054541075289	Not Private	1304	765337473	tonguedorsum
809635352:tonguedorsum:1304	Oral	0.0030100687596999985	Not Private	1304	809635352	tonguedorsum
823052294:tonguedorsum:1304	Oral	0.00990152963190001	Not Private	1304	823052294	tonguedorsum
857980665:tonguedorsum:1304	Oral	-9.217032197999936e-4	Private	1304	857980665	tonguedorsum
861967750:tonguedorsum:1304	Oral	-0.015177421204300004	Private	1304	861967750	tonguedorsum
158458797:tonguedorsum:1316408	Oral	0.01500809658140001	Not Private	1316408	158458797	tonguedorsum
158499257:tonguedorsum:1316408	Oral	-0.037611731728500006	Private	1316408	158499257	tonguedorsum
158802708:tonguedorsum:1316408	Oral	-0.04077820439240001	Private	1316408	158802708	tonguedorsum
158944319:tonguedorsum:1316408	Oral	-0.1250372898496	Private	1316408	158944319	tonguedorsum
159207311:tonguedorsum:1316408	Oral	-0.057268318119199996	Private	1316408	159207311	tonguedorsum
159227541:tonguedorsum:1316408	Oral	-0.055143643705300005	Private	1316408	159227541	tonguedorsum
159268001:tonguedorsum:1316408	Oral	0.03367439952410001	Not Private	1316408	159268001	tonguedorsum
159591683:tonguedorsum:1316408	Oral	-0.059116751364000006	Private	1316408	159591683	tonguedorsum
159611913:tonguedorsum:1316408	Oral	-0.0611170676584	Private	1316408	159611913	tonguedorsum
159753524:tonguedorsum:1316408	Oral	-0.0333193927697	Private	1316408	159753524	tonguedorsum
160178356:tonguedorsum:1316408	Oral	-0.0020534205849000037	Private	1316408	160178356	tonguedorsum
160319967:tonguedorsum:1316408	Oral	-0.0559092427175	Private	1316408	160319967	tonguedorsum
160421117:tonguedorsum:1316408	Oral	-0.060470041266900004	Private	1316408	160421117	tonguedorsum
160502038:tonguedorsum:1316408	Oral	0.010198289149099996	Not Private	1316408	160502038	tonguedorsum
160582958:tonguedorsum:1316408	Oral	-0.036316992067700005	Private	1316408	160582958	tonguedorsum
160603188:tonguedorsum:1316408	Oral	-0.047127507735799996	Private	1316408	160603188	tonguedorsum
508703490:tonguedorsum:1316408	Oral	-0.0721643150226	Private	1316408	508703490	tonguedorsum
550534656:tonguedorsum:1316408	Oral	-0.010302707879900008	Private	1316408	550534656	tonguedorsum
638754422:tonguedorsum:1316408	Oral	0.04702407282979999	Not Private	1316408	638754422	tonguedorsum
663835652:tonguedorsum:1316408	Oral	-0.026278718275699997	Private	1316408	663835652	tonguedorsum
675950834:tonguedorsum:1316408	Oral	-0.0345915960091	Private	1316408	675950834	tonguedorsum
686765762:tonguedorsum:1316408	Oral	-0.027613925518	Private	1316408	686765762	tonguedorsum
737052003:tonguedorsum:1316408	Oral	-0.0061404863213999905	Private	1316408	737052003	tonguedorsum
763577454:tonguedorsum:1316408	Oral	-0.021519504908100007	Private	1316408	763577454	tonguedorsum
763820215:tonguedorsum:1316408	Oral	0.05615269716639999	Not Private	1316408	763820215	tonguedorsum
763901136:tonguedorsum:1316408	Oral	-0.0334516733421	Private	1316408	763901136	tonguedorsum
763961826:tonguedorsum:1316408	Oral	-0.041991293083100005	Private	1316408	763961826	tonguedorsum
763982056:tonguedorsum:1316408	Oral	-0.0286969329341	Private	1316408	763982056	tonguedorsum
764042746:tonguedorsum:1316408	Oral	-0.067320979866	Private	1316408	764042746	tonguedorsum
764143897:tonguedorsum:1316408	Oral	-0.0996137191492	Private	1316408	764143897	tonguedorsum
764285508:tonguedorsum:1316408	Oral	-0.0433054261344	Private	1316408	764285508	tonguedorsum
764325968:tonguedorsum:1316408	Oral	-0.003749620028699996	Private	1316408	764325968	tonguedorsum
764487809:tonguedorsum:1316408	Oral	-0.0979386996063	Private	1316408	764487809	tonguedorsum
764588959:tonguedorsum:1316408	Oral	-0.004964811277700001	Private	1316408	764588959	tonguedorsum
764811490:tonguedorsum:1316408	Oral	-0.030154871594299998	Private	1316408	764811490	tonguedorsum
765074482:tonguedorsum:1316408	Oral	-0.04909661704420001	Private	1316408	765074482	tonguedorsum
765094712:tonguedorsum:1316408	Oral	-0.053844072115999994	Private	1316408	765094712	tonguedorsum
765135172:tonguedorsum:1316408	Oral	-0.012022763059599997	Private	1316408	765135172	tonguedorsum
765337473:tonguedorsum:1316408	Oral	-0.0707537219061	Private	1316408	765337473	tonguedorsum
823052294:tonguedorsum:1316408	Oral	0.008482480737800002	Not Private	1316408	823052294	tonguedorsum
857980665:tonguedorsum:1316408	Oral	-0.0783636779886	Private	1316408	857980665	tonguedorsum
158337416:supragingivalplaque:1321772	Oral	-0.15020413675079	Private	1321772	158337416	supragingivalplaque
